"","Rank","Name","Growth_Rate","Revenue","Industry","Employees","City","State","state","city","lon","lat"
"2315",2316,"Genuine Interactive",1.57,1.3e+07,"Advertising & Marketing",80,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"2316",2317,"Mercury Payment Systems",1.57,203300000,"Financial Services",699,"Durango","CO","CO","Durango",-107.8800667,37.27528
"2317",2318,"Providigm",1.57,7500000,"Health",42,"Denver","CO","CO","Denver",-104.990251,39.7392358
"2318",2319,"Accelerated Claims",1.57,4800000,"Health",70,"Kennesaw","GA","GA","Kennesaw",-84.6154897,34.0234337
"2319",2320,"Protingent",1.57,23200000,"Human Resources",240,"Redmond","WA","WA","Redmond",-122.121512,47.6739881
"2320",2321,"Squaremouth",1.57,2700000,"Insurance",14,"St. Petersburg","FL","FL","St. Petersburg",-82.6402915,27.7676008
"2321",2322,"RealTruck.com",1.57,16500000,"Retail",42,"Jamestown","ND","ND","Jamestown",-76.7752102,37.2116383
"2322",2323,"Big Ass Fans",1.57,86900000,"Manufacturing",312,"Lexington","KY","KY","Lexington",-84.5037164,38.0405837
"2323",2324,"Accuvant",1.57,430200000,"Security",525,"Denver","CO","CO","Denver",-104.990251,39.7392358
"2324",2325,"Nathan",1.56,14700000,"Consumer Products & Services",74,"Sharon Hill","PA","PA","Sharon Hill",-75.2715732,39.9065017
"2325",2326,"AmeriFirst Home Mortgage",1.56,43300000,"Financial Services",260,"Portage","MI","MI","Portage",-85.5800022,42.2011538
"2326",2327,"Interactive Achievement",1.56,4900000,"Education",40,"Roanoke","VA","VA","Roanoke",-75.6615384,35.8897427
"2327",2328,"Authentify",1.56,1.4e+07,"Security",37,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2328",2329,"Axis Group",1.56,10400000,"IT Services",42,"Berkeley Heights","NJ","NJ","Berkeley Heights",-74.4310524,40.6808726
"2329",2330,"Davenport Group",1.56,8700000,"IT Services",12,"St. Paul","MN","MN","St. Paul",-93.0899578,44.9537029
"2330",2331,"Flagger Force",1.56,33300000,"Construction",844,"Hummelstown","PA","PA","Hummelstown",-76.7083033,40.2653681
"2331",2332,"Meeting Tomorrow",1.56,11500000,"Business Products & Services",61,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2332",2333,"Educere",1.56,3100000,"Education",12,"Ambler","PA","PA","Ambler",-75.2215651,40.1545535
"2333",2334,"MyUS.com",1.56,66900000,"Logistics & Transportation",140,"Sarasota","FL","FL","Sarasota",-82.5306527,27.3364347
"2334",2335,"Mazzella Lifting Technologies",1.56,122300000,"Manufacturing",320,"Cleveland","OH","OH","Cleveland",-81.6943605,41.49932
"2335",2336,"BountyJobs",1.56,30800000,"Human Resources",56,"New York","NY","NY","New York",-74.0059728,40.7127753
"2336",2337,"iD Additives",1.56,4e+06,"Manufacturing",5,"La Grange","IL","IL","La Grange",-96.876647,29.9055033
"2337",2338,"Maddy's Pool Supply & Service",1.56,2400000,"Consumer Products & Services",22,"Gilbert","AZ","AZ","Gilbert",-111.789027,33.3528264
"2338",2339,"ReTouch Design-Build-Renovate",1.55,2500000,"Construction",6,"Overland Park","KS","KS","Overland Park",-94.6707917,38.9822282
"2339",2340,"CTI",1.55,9100000,"Telecommunications",950,"Los Angeles","CA","CA","Los Angeles",-118.2436849,34.0522342
"2340",2341,"Beacon Partners",1.55,6.3e+07,"Health",311,"Weymouth","MA","MA","Weymouth",-70.9410356,42.2180724
"2341",2342,"The Ellison Nursing Group",1.55,7600000,"Health",149,"Fort Washington","PA","PA","Fort Washington",-77.0230313,38.7073379
"2342",2343,"Sweet Spot Marketing",1.55,2200000,"Advertising & Marketing",12,"overland park","KS","KS","overland park",-94.6707917,38.9822282
"2343",2344,"Aventis Systems",1.55,1.4e+07,"Computer Hardware",31,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"2344",2345,"Integrity staffing Solutions",1.55,278200000,"Human Resources",66803,"Wilmington","DE","DE","Wilmington",-77.8868117,34.2103894
"2345",2346,"InoLECT",1.55,8900000,"Engineering",27,"Baton Rouge","LA","LA","Baton Rouge",-91.1871466,30.4514677
"2346",2347,"Paycom",1.55,76800000,"Human Resources",550,"Oklahoma City","OK","OK","Oklahoma City",-97.5164276,35.4675602
"2347",2348,"Valkyrie Enterprises",1.55,23400000,"Government Services",200,"Virginia Beach","VA","VA","Virginia Beach",-75.977985,36.8529263
"2348",2349,"M Force Staffing",1.54,6900000,"Human Resources",18,"Knoxville","TN","TN","Knoxville",-83.9207392,35.9606384
"2349",2350,"Smith Monitoring",1.54,7200000,"Security",25,"Plano","TX","TX","Plano",-96.6988856,33.0198431
"2350",2351,"Ignify",1.54,17500000,"IT Services",320,"Long Beach","CA","CA","Long Beach",-118.1937395,33.7700504
"2351",2352,"LDJ Productions",1.54,12300000,"Business Products & Services",12,"New York","NY","NY","New York",-74.0059728,40.7127753
"2352",2353,"Lasertec",1.54,17600000,"Business Products & Services",39,"Sterling Heights","MI","MI","Sterling Heights",-83.0302033,42.5803122
"2353",2354,"Senior1Care",1.54,2500000,"Health",125,"South Bend","IN","IN","South Bend",-86.2519898,41.6763545
"2354",2355,"Lawn Butler",1.54,2600000,"Construction",70,"Centerville","UT","UT","Centerville",-84.1593818,39.6283928
"2355",2356,"Keste",1.54,24200000,"IT Services",220,"Plano","TX","TX","Plano",-96.6988856,33.0198431
"2356",2357,"Diablo Media",1.54,24300000,"Advertising & Marketing",22,"Denver","CO","CO","Denver",-104.990251,39.7392358
"2357",2358,"Bridge Technical Talent",1.54,10200000,"Human Resources",56,"East Greenwich","RI","RI","East Greenwich",-71.5130445,41.6342619
"2358",2359,"Cornerstone Mortgage",1.53,24600000,"Financial Services",116,"Chesterfield, MO","MO","MO","Chesterfield, MO",-90.5770675,38.6631083
"2359",2360,"Sentek Global",1.53,26500000,"Government Services",100,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"2360",2361,"Exclusive Concepts",1.53,5100000,"Advertising & Marketing",31,"Burlington","MA","MA","Burlington",-95.9199116,36.135688
"2361",2362,"Phacil",1.53,75600000,"Government Services",535,"Arlington","VA","VA","Arlington",-77.0909809,38.8816208
"2362",2363,"Radco Industries",1.53,31600000,"Manufacturing",21,"Batavia","IL","IL","Batavia",-88.3125738,41.8500284
"2363",2364,"Worthington Jewelers",1.53,3e+06,"Retail",27,"Worthington","OH","OH","Worthington",-83.017962,40.0931191
"2364",2365,"TRUSTe",1.53,14700000,"Security",130,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"2365",2366,"True Media",1.53,35800000,"Advertising & Marketing",52,"Columbia","MO","MO","Columbia",-97.6502456,35.4611664
"2366",2367,"ProCopy Office Solutions",1.53,8900000,"Business Products & Services",39,"Tempe","AZ","AZ","Tempe",-111.9400054,33.4255104
"2367",2368,"QA Cafe",1.53,3100000,"Telecommunications",11,"Portsmouth","NH","NH","Portsmouth",-70.7625532,43.0717552
"2368",2369,"Gorilla Capital",1.53,59300000,"Real Estate",38,"Eugene","OR","OR","Eugene",-123.0867536,44.0520691
"2369",2370,"Paizo Publishing",1.52,11200000,"Retail",42,"Redmond","WA","WA","Redmond",-122.121512,47.6739881
"2370",2371,"Modern Enterprise Solutions",1.52,12700000,"Telecommunications",52,"Tampa","FL","FL","Tampa",-82.4571776,27.950575
"2371",2372,"DiGennaro Communications",1.52,4700000,"Advertising & Marketing",32,"New York","NY","NY","New York",-74.0059728,40.7127753
"2372",2373,"Pentec Health",1.52,76900000,"Health",230,"Boothwyn","PA","PA","Boothwyn",-75.4415843,39.8301125
"2373",2374,"Unified Payments",1.52,67200000,"Financial Services",54,"North Miami Beach","FL","FL","North Miami Beach",-80.1625463,25.9331488
"2374",2375,"Millennium Corporation",1.52,19400000,"Government Services",121,"Arlington","VA","VA","Arlington",-77.0909809,38.8816208
"2375",2376,"Response Marketing",1.52,2300000,"Advertising & Marketing",19,"New Haven","CT","CT","New Haven",-72.9278835,41.308274
"2376",2377,"Pyramid Consulting",1.52,153600000,"IT Services",2390,"Alpharetta","GA","GA","Alpharetta",-84.2940899,34.0753762
"2377",2378,"Adage Technologies",1.52,4700000,"IT Services",37,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2378",2379,"Frontline Freight",1.52,23500000,"Logistics & Transportation",130,"City of Industry","CA","CA","City of Industry",-117.9586754,34.0197335
"2379",2380,"CIS",1.52,17600000,"Business Products & Services",98,"Newtown Square","PA","PA","Newtown Square",-75.4007058,39.9868904
"2380",2381,"Summa Technologies",1.52,22300000,"IT Services",137,"Pittsburgh","PA","PA","Pittsburgh",-79.9958864,40.4406248
"2381",2382,"BuyAutoParts.com",1.52,33800000,"Retail",102,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"2382",2383,"Charity Dynamics",1.51,4800000,"Business Products & Services",37,"Austin","TX","TX","Austin",-97.7430608,30.267153
"2383",2384,"Benjamin Franklin Plumbing",1.51,12600000,"Consumer Products & Services",75,"McKinney","TX","TX","McKinney",-96.6389342,33.1983388
"2384",2385,"Double Prime",1.51,19300000,"IT Services",99,"Ardmore","PA","PA","Ardmore",-75.2854622,40.0067785
"2385",2386,"Nitro",1.51,15500000,"Software",85,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"2386",2387,"Atlantic BT",1.51,6e+06,"IT Services",62,"Raleigh","NC","NC","Raleigh",-78.6381787,35.7795897
"2387",2388,"VanderHouwen & Associates",1.51,36100000,"IT Services",310,"Portland","OR","OR","Portland",-122.6750261,45.5051064
"2388",2389,"PCN Network",1.51,25100000,"Financial Services",80,"Pittsburgh","PA","PA","Pittsburgh",-79.9958864,40.4406248
"2389",2390,"Engineer's Associates",1.51,26900000,"Retail",45,"Berkeley","CA","CA","Berkeley",-122.273042,37.8715226
"2390",2391,"ShipCompliant",1.51,5400000,"Software",31,"Boulder","CO","CO","Boulder",-105.2705456,40.0149856
"2391",2392,"DBAK",1.51,13700000,"IT Services",41,"Englewood","CO","CO","Englewood",-104.9877597,39.6477653
"2392",2393,"Lunarline",1.51,9600000,"Government Services",75,"Arlington","VA","VA","Arlington",-77.0909809,38.8816208
"2393",2394,"MYMIC",1.51,15600000,"Government Services",92,"Portsmouth","VA","VA","Portsmouth",-70.7625532,43.0717552
"2394",2395,"New Era Portfolio",1.51,13100000,"Consumer Products & Services",117,"Austin","TX","TX","Austin",-97.7430608,30.267153
"2395",2396,"Freddy's Frozen Custard",1.51,98900000,"Food & Beverage",3237,"Wichita","KS","KS","Wichita",-97.330053,37.6871761
"2396",2397,"VLS IT Consulting",1.51,2800000,"IT Services",45,"Newark","DE","DE","Newark",-74.1723667,40.735657
"2397",2398,"Emerald A/R Systems",1.51,2900000,"Financial Services",41,"Phoenix","AZ","AZ","Phoenix",-112.0740373,33.4483771
"2398",2399,"Rain",1.51,10700000,"Advertising & Marketing",74,"New York","NY","NY","New York",-74.0059728,40.7127753
"2399",2400,"Ohio Power Tool",1.51,6900000,"Retail",15,"Columbus","OH","OH","Columbus",-82.9987942,39.9611755
"2400",2401,"Healthcare Data Solutions",1.51,8900000,"Health",63,"Foothill Ranch","CA","CA","Foothill Ranch",-117.6664308,33.6831832
"2401",2402,"Independent Financial Group",1.5,7.6e+07,"Financial Services",48,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"2402",2403,"TekLinks",1.5,93600000,"IT Services",152,"Birmingham","AL","AL","Birmingham",-86.8103567,33.5185892
"2403",2404,"IndiSoft",1.5,5100000,"Financial Services",17,"Columbia","MD","MD","Columbia",-97.6502456,35.4611664
"2404",2405,"Sullivan",1.5,9900000,"Advertising & Marketing",63,"New York","NY","NY","New York",-74.0059728,40.7127753
"2405",2406,"FactorTrust",1.5,8800000,"Financial Services",19,"Roswell","GA","GA","Roswell",-104.5230242,33.3942655
"2406",2407,"Ampcus",1.5,16500000,"IT Services",210,"Chantilly","VA","VA","Chantilly",-77.4310992,38.8942786
"2407",2408,"First NBC Bank Holding Company",1.5,119600000,"Financial Services",433,"New Orleans","LA","LA","New Orleans",-90.0715323,29.9510658
"2408",2409,"Improving Enterprises",1.5,24700000,"IT Services",171,"Addison","TX","TX","Addison",-96.8291685,32.96179
"2409",2410,"Involta",1.5,17200000,"IT Services",99,"Cedar Rapids","IA","IA","Cedar Rapids",-91.6656232,41.9778795
"2410",2411,"RFID Global Solution",1.5,5600000,"Software",20,"Reston","VA","VA","Reston",-77.3570028,38.9586307
"2411",2412,"Attack!",1.5,8800000,"Advertising & Marketing",55,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"2412",2413,"ACA Talent",1.5,4800000,"Human Resources",64,"Fort Lauderdale","FL","FL","Fort Lauderdale",-80.1373174,26.1224386
"2413",2414,"Jimmy Beans Wool",1.49,6900000,"Retail",44,"Reno","NV","NV","Reno",-119.8138027,39.5296329
"2414",2415,"CTG US",1.49,7100000,"Logistics & Transportation",5,"Fort Lauderdale","FL","FL","Fort Lauderdale",-80.1373174,26.1224386
"2415",2416,"America's Mortgage Professionals",1.49,8600000,"Financial Services",85,"Fort Lauderdale","FL","FL","Fort Lauderdale",-80.1373174,26.1224386
"2416",2417,"Fun and Function",1.49,2100000,"Retail",3,"Merion Station","PA","PA","Merion Station",-75.2508229,39.9982136
"2417",2418,"Left Field Labs",1.49,2300000,"Advertising & Marketing",8,"Venice","CA","CA","Venice",12.3155151,45.4408474
"2418",2419,"Rimini Street",1.49,43700000,"IT Services",232,"Las Vegas","NV","NV","Las Vegas",-115.1398296,36.1699412
"2419",2420,"Carolina Management Team",1.49,2400000,"Construction",21,"Enka","NC","NC","Enka",-82.6659183,35.5301589
"2420",2421,"Information Systems Solutions",1.49,11800000,"IT Services",51,"Rockville","MD","MD","Rockville",-77.1527578,39.0839973
"2421",2422,"Parts Town",1.49,62200000,"Food & Beverage",100,"Addison","IL","IL","Addison",-96.8291685,32.96179
"2422",2423,"Giant Partners",1.49,6600000,"Advertising & Marketing",55,"Westlake Village","CA","CA","Westlake Village",-118.8073729,34.1466467
"2423",2424,"Guardian Exteriors",1.49,9200000,"Construction",16,"Duncanville","TX","TX","Duncanville",-96.9083366,32.6518004
"2424",2425,"Redtail Technology",1.49,5900000,"Software",44,"Gold River","CA","CA","Gold River",-121.2466156,38.6262937
"2425",2426,"NorthStar Solutions Group",1.49,4700000,"IT Services",27,"Reading","PA","PA","Reading",-0.9781303,51.4542645
"2426",2427,"N-Tieractive",1.49,3600000,"IT Services",24,"Falls Church","VA","VA","Falls Church",-77.1710914,38.882334
"2427",2428,"Bridgevine",1.49,5.4e+07,"Advertising & Marketing",100,"Vero Beach","FL","FL","Vero Beach",-80.3972736,27.6386434
"2428",2429,"Anisa",1.49,31500000,"Manufacturing",31,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"2429",2430,"Historical Emporium",1.49,5900000,"Retail",12,"San Jose","CA","CA","San Jose",-121.8863286,37.3382082
"2430",2431,"International Voyager",1.49,3e+06,"Travel & Hospitality",20,"Little Falls","NJ","NJ","Little Falls",-94.3694444,45.9805556
"2431",2432,"Bear Metal Works",1.48,2400000,"Manufacturing",13,"Buffalo","NY","NY","Buffalo",-78.8783689,42.8864468
"2432",2433,"Rotating Machinery Services",1.48,15400000,"Engineering",44,"Bethlehem","PA","PA","Bethlehem",35.2024425,31.7053821
"2433",2434,"Deep River Snacks",1.48,1.2e+07,"Food & Beverage",16,"Old Lyme","CT","CT","Old Lyme",-72.3289715,41.3159315
"2434",2435,"Alonzo, Bacarisse, Irvine & Palmer",1.48,3900000,"Financial Services",49,"Houston","TX","TX","Houston",-95.3698028,29.7604267
"2435",2436,"Shinetech Software",1.48,1.2e+07,"IT Services",300,"New York","NY","NY","New York",-74.0059728,40.7127753
"2436",2437,"Narragansett Brewing",1.48,7400000,"Food & Beverage",114,"Providence","RI","RI","Providence",-71.4128343,41.8239891
"2437",2438,"Kyriba",1.48,29400000,"Software",260,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"2438",2439,"AmeriCommerce",1.48,2800000,"Software",27,"Beaumont","TX","TX","Beaumont",-94.1265562,30.080174
"2439",2440,"BlueWave Computing",1.48,16100000,"IT Services",150,"Smyrna","GA","GA","Smyrna",-84.5143761,33.8839926
"2440",2441,"Banyan Investment Group",1.48,17700000,"Travel & Hospitality",246,"Miramar Beach","FL","FL","Miramar Beach",-86.3585578,30.374367
"2441",2442,"Proforma GPS Global Promotional Sourcing",1.48,5400000,"Advertising & Marketing",7,"Las Vegas","NV","NV","Las Vegas",-115.1398296,36.1699412
"2442",2443,"IPG",1.47,34600000,"Health",86,"Alpharetta","GA","GA","Alpharetta",-84.2940899,34.0753762
"2443",2444,"Hot Studio",1.47,15600000,"Advertising & Marketing",71,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"2444",2445,"Powerlink",1.47,23600000,"Environmental Services",567,"Detroit","MI","MI","Detroit",-83.0457538,42.331427
"2445",2446,"De Joya Griffith",1.47,2600000,"Financial Services",40,"Henderson","NV","NV","Henderson",-114.9817213,36.0395247
"2446",2447,"Advanced Chemical Transport",1.47,3.5e+07,"Environmental Services",170,"Sunnyvale","CA","CA","Sunnyvale",-122.0363496,37.36883
"2447",2448,"Insurance Applications Group",1.46,6400000,"Insurance",20,"Greenville","SC","SC","Greenville",-82.3940104,34.8526176
"2448",2449,"Netech",1.46,186900000,"Computer Hardware",270,"Grand Rapids","MI","MI","Grand Rapids",-85.6680863,42.9633599
"2449",2450,"Swiss Teknik",1.46,4700000,"Logistics & Transportation",7,"Tempe","AZ","AZ","Tempe",-111.9400054,33.4255104
"2450",2451,"Hargrove Engineers + Constructors",1.46,7.6e+07,"Engineering",685,"Mobile","AL","AL","Mobile",-88.0398912,30.6953657
"2451",2452,"Cafe Grumpy",1.46,2200000,"Food & Beverage",30,"Brooklyn","NY","NY","Brooklyn",-73.9441579,40.6781784
"2452",2453,"Husco International",1.46,3e+08,"Manufacturing",1270,"Waukesha","WI","WI","Waukesha",-88.2314813,43.0116784
"2453",2454,"Linkology",1.46,5800000,"Security",28,"Newport","KY","KY","Newport",-71.3128285,41.4901024
"2454",2455,"Smarsh",1.46,26800000,"Software",145,"Portland","OR","OR","Portland",-122.6750261,45.5051064
"2455",2456,"Hire Dynamics",1.46,69700000,"Human Resources",80,"Duluth","GA","GA","Duluth",-92.1004852,46.7866719
"2456",2457,"Taphandles",1.46,21200000,"Advertising & Marketing",484,"seattle","WA","WA","seattle",-122.3320708,47.6062095
"2457",2458,"Cecchetti Wine Company",1.46,15100000,"Food & Beverage",7,"Vineburg","CA","CA","Vineburg",-122.4385905,38.2724151
"2458",2459,"Automated Industrial Machinery",1.46,15100000,"Manufacturing",40,"Addison","IL","IL","Addison",-96.8291685,32.96179
"2459",2460,"Five Nines Technology Group",1.45,1e+07,"IT Services",57,"Lincoln","NE","NE","Lincoln",-95.932911,37.0149484
"2460",2461,"Soft Tech Consulting",1.45,11500000,"IT Services",95,"Chantilly","VA","VA","Chantilly",-77.4310992,38.8942786
"2461",2462,"Centro",1.45,185500000,"Advertising & Marketing",271,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2462",2463,"MicroPulse Technologies",1.45,3300000,"IT Services",10,"Birmingham","AL","AL","Birmingham",-86.8103567,33.5185892
"2463",2464,"Offwire",1.45,47800000,"Retail",74,"Omaha","NE","NE","Omaha",-95.9345034,41.2565369
"2464",2465,"Gittings Private Investigations & Security",1.45,2400000,"Security",62,"Ebensburg","PA","PA","Ebensburg",-78.7247426,40.4850717
"2465",2466,"Secure Designs",1.45,3400000,"IT Services",21,"Greensboro","NC","NC","Greensboro",-79.7919754,36.0726354
"2466",2467,"High Street Partners",1.45,3e+07,"Business Products & Services",170,"Annapolis","MD","MD","Annapolis",-76.4921829,38.9784453
"2467",2468,"OTR Wheel Engineering",1.45,72500000,"Manufacturing",125,"Rome","GA","GA","Rome",12.4963655,41.9027835
"2468",2469,"eGroup",1.45,19300000,"IT Services",37,"Mt. Pleasant","SC","SC","Mt. Pleasant",-79.8284258,32.8323225
"2469",2470,"Infutor Data Solutions",1.45,18500000,"Advertising & Marketing",53,"Plainfield","IL","IL","Plainfield",-86.3994387,39.7042123
"2470",2471,"Blue Microphones",1.45,22300000,"Consumer Products & Services",37,"Westlake Village","CA","CA","Westlake Village",-118.8073729,34.1466467
"2471",2472,"Cambria Solutions",1.45,9500000,"Business Products & Services",47,"Sacramento","CA","CA","Sacramento",-121.4943996,38.5815719
"2472",2473,"OPTiMO Information Technology",1.45,8100000,"IT Services",64,"Bloomsburg","PA","PA","Bloomsburg",-76.4549457,41.003698
"2473",2474,"rEvolution",1.45,26600000,"Advertising & Marketing",70,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2474",2475,"Systems Management/Planning",1.45,5.2e+07,"IT Services",52,"Rochester","NY","NY","Rochester",-77.6088465,43.1565779
"2475",2476,"Salesify",1.45,5900000,"Advertising & Marketing",352,"Redwood City","CA","CA","Redwood City",-122.2363548,37.4852152
"2476",2477,"Vorsight",1.44,4100000,"Business Products & Services",41,"Arlington","VA","VA","Arlington",-77.0909809,38.8816208
"2477",2478,"Innovative Office Solutions",1.44,48600000,"Business Products & Services",82,"Burnsville","MN","MN","Burnsville",-93.2777226,44.7677424
"2478",2479,"Packsize International",1.44,71100000,"Manufacturing",158,"Salt Lake City","UT","UT","Salt Lake City",-111.8910474,40.7607793
"2479",2480,"Solstice Benefits",1.44,2.1e+07,"Insurance",86,"Plantation","FL","FL","Plantation",-90.7759972,30.0042359
"2480",2481,"PowerON Services",1.44,20800000,"Computer Hardware",81,"Roseville","CA","CA","Roseville",-121.2880059,38.7521235
"2481",2482,"Intelligent Software Solutions",1.44,192300000,"Software",758,"Colorado Springs","CO","CO","Colorado Springs",-104.8213634,38.8338816
"2482",2483,"World Water Works",1.44,12500000,"Environmental Services",65,"Oklahoma City","OK","OK","Oklahoma City",-97.5164276,35.4675602
"2483",2484,"Richard Brady & Associates",1.43,40300000,"Engineering",124,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"2484",2485,"Triad Retail Media",1.43,171300000,"Advertising & Marketing",289,"Tampa","FL","FL","Tampa",-82.4571776,27.950575
"2485",2486,"Superb Industries",1.43,14200000,"Manufacturing",71,"Sugarcreek","OH","OH","Sugarcreek",-81.6409582,40.50312
"2486",2487,"Hard Dollar",1.43,11800000,"Software",56,"Scottsdale","AZ","AZ","Scottsdale",-111.9260519,33.4941704
"2487",2488,"Signature Mortgage",1.43,6500000,"Financial Services",16,"CANTON","OH","OH","CANTON",-81.378447,40.7989473
"2488",2489,"Government Sourcing Solutions",1.43,2900000,"Government Services",7,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"2489",2490,"OppSource",1.42,2800000,"Advertising & Marketing",29,"St. Paul","MN","MN","St. Paul",-93.0899578,44.9537029
"2490",2491,"NikSoft Systems",1.42,17100000,"IT Services",70,"Reston","VA","VA","Reston",-77.3570028,38.9586307
"2491",2492,"MotherG",1.42,3500000,"IT Services",26,"Itasca","IL","IL","Itasca",-88.0072909,41.9750287
"2492",2493,"E3 Federal Solutions",1.42,7100000,"Government Services",51,"Arlington","VA","VA","Arlington",-77.0909809,38.8816208
"2493",2494,"RVM",1.42,18800000,"Business Products & Services",106,"New York","NY","NY","New York",-74.0059728,40.7127753
"2494",2495,"LeaderOne Financial",1.42,3.4e+07,"Financial Services",198,"Overland Park","KS","KS","Overland Park",-94.6707917,38.9822282
"2495",2496,"Carahsoft Technology",1.42,1.4e+09,"Government Services",365,"Reston","VA","VA","Reston",-77.3570028,38.9586307
"2496",2497,"Scientific Search",1.42,6300000,"Human Resources",53,"Cherry Hill","NJ","NJ","Cherry Hill",-75.0246312,39.926813
"2497",2498,"Diversant",1.42,89700000,"IT Services",90,"Red Bank","NJ","NJ","Red Bank",-74.0643065,40.3470543
"2498",2499,"Team Drive-Away",1.42,15200000,"Logistics & Transportation",18,"Shawnee","KS","KS","Shawnee",-94.7151865,39.0228485
"2499",2500,"Dane Manufacturing",1.42,9500000,"Manufacturing",47,"Dane","WI","WI","Dane",-89.5015088,43.2505472
"2500",2501,"Speridian Technologies",1.42,18100000,"IT Services",380,"Albuquerque","NM","NM","Albuquerque",-106.650422,35.0843859
"2501",2502,"GeBBS Healthcare Solutions",1.42,18700000,"Health",1800,"Englewood Cliffs","NJ","NJ","Englewood Cliffs",-73.9523597,40.8853773
"2502",2503,"Marvin Traub Associates",1.42,3800000,"Retail",12,"New York","NY","NY","New York",-74.0059728,40.7127753
"2503",2504,"We R Memory Keepers",1.42,12600000,"Consumer Products & Services",34,"Salt Lake City","UT","UT","Salt Lake City",-111.8910474,40.7607793
"2504",2505,"Creative Breakthroughs",1.42,23900000,"IT Services",47,"Troy","MI","MI","Troy",-83.1497751,42.6064095
"2505",2506,"QueBIT",1.42,14700000,"IT Services",46,"Scarsdale","NY","NY","Scarsdale",-73.7845768,41.0050977
"2506",2507,"ITS (Bar Mills, ME)",1.42,8300000,"IT Services",14,"Bar Mills","ME","ME","Bar Mills",-70.5432173,43.6126515
"2507",2508,"Infintech",1.41,5900000,"Financial Services",27,"Cincinnati","OH","OH","Cincinnati",-84.5120196,39.1031182
"2508",2509,"PetRelocation.com",1.41,6800000,"Logistics & Transportation",30,"Austin","TX","TX","Austin",-97.7430608,30.267153
"2509",2510,"Xtreme Consulting Group",1.41,66400000,"IT Services",586,"Kirkland","WA","WA","Kirkland",-122.2059833,47.6768927
"2510",2511,"SCSI",1.41,46100000,"Business Products & Services",537,"Peoria","IL","IL","Peoria",-89.5889864,40.6936488
"2511",2512,"Foundation Financial Group",1.41,33300000,"Financial Services",243,"Jacksonville","FL","FL","Jacksonville",-81.655651,30.3321838
"2512",2513,"Partner's Consulting",1.41,4400000,"IT Services",48,"Broomall","PA","PA","Broomall",-75.347048,39.967933
"2513",2514,"adaQuest",1.41,12700000,"Business Products & Services",84,"Bellevue","WA","WA","Bellevue",-122.2015159,47.6101497
"2514",2515,"Supreme Resources",1.41,3.2e+07,"Manufacturing",12,"SUWANEE","GA","GA","SUWANEE",-84.0712997,34.0514898
"2515",2516,"Advanced Assembly",1.41,20600000,"Computer Hardware",86,"Aurora","CO","CO","Aurora",-88.3200715,41.7605849
"2516",2517,"Effective Environmental",1.41,39200000,"Environmental Services",141,"Mesquite","TX","TX","Mesquite",-96.5991593,32.7667955
"2517",2518,"Data Hardware Depot",1.41,8200000,"Telecommunications",15,"Santa Barbara","CA","CA","Santa Barbara",-119.6981901,34.4208305
"2518",2519,"Trinity Healthcare Staffing Group",1.41,36200000,"Health",218,"florence","SC","SC","florence",11.2558136,43.7695604
"2519",2520,"Sky Helicopters",1.41,7900000,"Travel & Hospitality",12,"Garland","TX","TX","Garland",-96.6388833,32.912624
"2520",2521,"CCX",1.41,21800000,"Computer Hardware",130,"Lafayette","CO","CO","Lafayette",-92.0198427,30.2240897
"2521",2522,"DLA Piper",1.41,2.4e+09,"Business Products & Services",4036,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"2522",2523,"Hooah",1.41,5e+06,"Advertising & Marketing",10,"Winter Park","FL","FL","Winter Park",-105.7630624,39.8916537
"2523",2524,"PC Age",1.41,3900000,"Education",22,"Edison","NJ","NJ","Edison",-97.2424044,37.727185
"2524",2525,"The VERTEX Companies",1.4,33100000,"Engineering",190,"Weymouth","MA","MA","Weymouth",-70.9410356,42.2180724
"2525",2526,"Soleo Communications",1.4,14100000,"Telecommunications",85,"Fairport","NY","NY","Fairport",-77.4419378,43.0986742
"2526",2527,"Spectrio",1.4,15400000,"Advertising & Marketing",68,"Oldsmar","FL","FL","Oldsmar",-82.6650992,28.0341847
"2527",2528,"Fiberstar",1.4,9500000,"Food & Beverage",32,"River Falls","WI","WI","River Falls",-92.6238082,44.8613563
